,facility,geo-loc,person,company,movie,sportsteam,product,other,musicartist,tvshow
facility,0.8536585365853658,0.024390243902439025,0.04878048780487805,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.0
geo-loc,0.17543859649122806,0.7017543859649122,0.12280701754385964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
person,0.0,0.017094017094017096,0.9487179487179487,0.0,0.0,0.0,0.0,0.03418803418803419,0.0,0.0
company,0.11538461538461539,0.0,0.07692307692307693,0.8076923076923077,0.0,0.0,0.0,0.0,0.0,0.0
movie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sportsteam,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
product,0.0,0.0,0.47368421052631576,0.0,0.0,0.0,0.15789473684210525,0.3684210526315789,0.0,0.0
other,0.025,0.05,0.1,0.0,0.0,0.0,0.0,0.825,0.0,0.0
musicartist,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
tvshow,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
